,pH,D
0,0.0,0.006479941680524863
1,0.1,0.008157744238502459
2,0.2,0.010269961396020839
3,0.30000000000000004,0.012929067629065578
4,0.4,0.016276656110177194
5,0.5,0.02049097605448842
6,0.6000000000000001,0.02579642037527255
7,0.7000000000000001,0.032475467872954425
8,0.8,0.04088371429313133
9,0.9,0.05146879012993894
10,1.0,0.0647941685248211
11,1.1,0.08156912463429498
12,1.2000000000000002,0.10268643163905211
13,1.3,0.1292697845682256
14,1.4000000000000001,0.16273345164621314
15,1.5,0.20485728897198274
16,1.6,0.25788104865277395
17,1.7000000000000002,0.32462290022100443
18,1.8,0.4086283148874403
19,1.9000000000000001,0.5143569846474231
20,2.0,0.6474173243963898
21,2.1,0.8148604031975888
22,2.2,1.0255479431102128
23,2.3000000000000003,1.2906123807853986
24,2.4000000000000004,1.6240309642247157
25,2.5,2.0433404744801984
26,2.6,2.570524366810753
27,2.7,3.233109732537135
28,2.8000000000000003,4.065517078579777
29,2.9000000000000004,5.110710718797953
30,3.0,6.4222001867592065
31,3.1,8.06644121495989
32,3.2,10.125674823494357
33,3.3000000000000003,12.70121933140731
34,3.4000000000000004,15.917184458387213
35,3.5,19.92449773262066
36,3.6,24.905006394813636
37,3.7,31.075225755257534
38,3.8000000000000003,38.68903157387534
39,3.9000000000000004,48.03823292597697
40,4.0,59.44953146704985
41,4.1000000000000005,73.27594082235052
42,4.2,89.88045527929891
43,4.3,109.60987813680016
44,4.4,132.75760710819577
45,4.5,159.5161990948245
46,4.6000000000000005,189.9238594329149
47,4.7,223.81321980666635
48,4.800000000000001,260.77460403055585
49,4.9,300.1473348643564
50,5.0,341.049400584626
51,5.1000000000000005,382.4473441518279
52,5.2,423.2566816031127
53,5.300000000000001,462.4531080317488
54,5.4,499.1709815677465
55,5.5,532.7700060011995
56,5.6000000000000005,562.8614125108676
57,5.7,589.2963885991765
58,5.800000000000001,612.1275552536155
59,5.9,631.5570827750118
60,6.0,647.8833809914215
61,6.1000000000000005,661.454358653199
62,6.2,672.6310667957583
63,6.300000000000001,681.7623219412486
64,6.4,689.1689865685012
65,6.5,695.1357760293638
66,6.6000000000000005,699.9083853887828
67,6.7,703.6940330093083
68,6.800000000000001,706.663951642422
69,6.9,708.9567811382111
70,7.0,710.6821671419171
71,7.1000000000000005,711.9241319163142
72,7.2,712.7439645610464
73,7.300000000000001,713.1824947819196
74,7.4,713.2616842951074
75,7.5,712.9855079965647
76,7.6000000000000005,712.3401153217977
77,7.7,711.2932704723032
78,7.800000000000001,709.7930766651576
79,7.9,707.7660022764228
80,8.0,705.1142546245919
81,8.1,701.7126011247625
82,8.200000000000001,697.4048313842825
83,8.3,692.0002040109268
84,8.4,685.2704458812245
85,8.5,676.9481823699745
86,8.6,666.7280719497817
87,8.700000000000001,654.2723597527727
88,8.8,639.2229502747324
89,8.9,621.2222313765627
90,9.0,599.9444495880011
91,9.1,575.1380562151728
92,9.200000000000001,546.6768050976274
93,9.3,514.6135413199665
94,9.4,479.2263623813008
95,9.5,441.0438686811496
96,9.600000000000001,400.8368022836037
97,9.700000000000001,359.56912169895566
98,9.8,318.3119142668406
99,9.9,278.1350549706196
100,10.0,239.99911111440326
101,10.100000000000001,204.66990492671005
102,10.200000000000001,172.67042553397513
103,10.3,144.27324779834962
104,10.4,119.5263313638293
105,10.5,98.29943568204033
106,10.600000000000001,80.33789940125213
107,10.700000000000001,65.31354603991835
108,10.8,52.8667406804811
109,10.9,42.637443043321085
110,11.0,34.28571247165542
111,11.100000000000001,27.503476104832917
112,11.200000000000001,22.019786610000523
113,11.3,17.601653952369393
114,11.4,14.05214503126703
115,11.5,11.207001265645893
116,11.600000000000001,8.930627511771343
117,11.700000000000001,7.11199286145437
118,11.8,5.66075700872394
119,11.9,4.503781851384011
120,12.0,3.5820895502586567
121,12.100000000000001,2.8482693402237986
122,12.200000000000001,2.2643030464414875
123,12.3,1.799763947237531
124,12.4,1.430338673455535
125,12.5,1.1366227991545685
126,12.600000000000001,0.9031448167064011
127,12.700000000000001,0.7175785546488638
128,12.8,0.5701097677331263
129,12.9,0.45292804692791594
130,13.0,0.3598200899530245
131,13.100000000000001,0.2858446372666757
132,13.200000000000001,0.2270730073215154
133,13.3,0.180382201477289
134,13.4,0.14329005899915442
135,13.5,0.1138239986115984
136,13.600000000000001,0.090416555728337
137,13.700000000000001,0.07182227812461772
138,13.8,0.05705163389128338
139,13.9,0.045318462196401864
140,14.0,0.0359982000899935
