,dP,Q,A,L,W,epsilon,t,k,Sw,dm
0,15,5,2,1,2.18,0.5439330543933054,13.44,0.02228422619047619,34.516037787277035,0.07273315281777233
1,15,10,2,1,2.18,0.5439330543933054,26.45,0.02264650283553875,34.2388478253163,0.07332198395968756
2,15,20,2,1,2.18,0.5439330543933054,53.52,0.02238415545590433,34.43890688018112,0.07289604922073595
3,30,5,2,1,2.18,0.5439330543933054,5.13,0.029191033138401556,30.157475370004054,0.08324504025104962
4,30,10,2,1,2.18,0.5439330543933054,10.22,0.029305283757338547,30.09863145956033,0.08340778730817074
5,30,20,2,1,2.18,0.5439330543933054,20.39,0.029377145659637074,30.061795524256457,0.08350999024726811
6,60,5,2,1,2.18,0.5439330543933054,2.87,0.026088850174216024,31.900114761366904,0.07869753039529356
7,60,10,2,1,2.18,0.5439330543933054,5.86,0.02555460750853242,32.231840647288166,0.07788758571121948
8,60,20,2,1,2.18,0.5439330543933054,11.8,0.02538135593220339,32.34165984330598,0.07762311097232183
