,dP,Q,A,L,W,epsilon,t,k,Sw,dm
0,15,5,2,1,2.31,0.5167364016736402,4.07,0.07358722358722358,16.597719763569415,0.15125332195066168
1,15,10,2,1,2.31,0.5167364016736402,7.86,0.07620865139949108,16.309757290530953,0.15392382647555014
2,15,20,2,1,2.31,0.5167364016736402,16.13,0.07427154370737755,16.52107912123701,0.15195498021790574
3,30,5,2,1,2.31,0.5167364016736402,3.67,0.04080381471389646,22.28944490734044,0.11263000319129847
4,30,10,2,1,2.31,0.5167364016736402,7.59,0.03945981554677207,22.6658552543121,0.11075956423786033
5,30,20,2,1,2.31,0.5167364016736402,15.16,0.03951187335092348,22.65091893950762,0.11083260055587824
6,60,5,2,1,2.31,0.5167364016736402,3.92,0.01910076530612245,32.57798749282989,0.07706001641748293
7,60,10,2,1,2.31,0.5167364016736402,8.18,0.01830684596577017,33.27690085092347,0.07544152811262643
8,60,20,2,1,2.31,0.5167364016736402,16.03,0.018683718028696193,32.93957445486915,0.07621410696988912
