,dP,Q,A,L,W,epsilon,t,k,Sw,dm
0,15,5,2,1,2.74,0.42677824267782427,34.42,0.008701336432306797,30.54343619124706,0.0821931178707868
1,15,10,2,1,2.74,0.42677824267782427,67.81,0.008833505382686919,30.31407604507187,0.08281500143080059
2,15,20,2,1,2.74,0.42677824267782427,135.73,0.008826346423045753,30.32636727234101,0.08278143664558452
3,30,5,2,1,2.74,0.42677824267782427,9.06,0.01652869757174393,22.161112480887272,0.11328223044809495
4,30,10,2,1,2.74,0.42677824267782427,18.46,0.01622426868905742,22.36805952140851,0.1122341546276403
5,30,20,2,1,2.74,0.42677824267782427,37.42,0.016007482629609833,22.519013181466253,0.11148180565532954
6,60,5,2,1,2.74,0.42677824267782427,3.29,0.02275835866261398,18.88601829346798,0.13292692043586055
7,60,10,2,1,2.74,0.42677824267782427,6.6,0.022689393939393936,18.914698671863942,0.1327253632002287
8,60,20,2,1,2.74,0.42677824267782427,13.45,0.022267657992565054,19.09297498456404,0.13148607029944986
