,dP,Q,A,L,W,epsilon,t,k,Sw,dm
0,15,5,2,1,2.4,0.497907949790795,75.53,0.0039653117966370974,65.09261353853537,0.03856751349459661
1,15,10,2,1,2.4,0.497907949790795,154.55,0.003875768359754125,65.84025038636992,0.038129567192012596
2,15,20,2,1,2.4,0.497907949790795,305.47,0.003921825383834746,65.45250216515589,0.038355451174523415
3,30,5,2,1,2.4,0.497907949790795,50.8,0.0029478346456692913,75.49510976833058,0.03325328301064524
4,30,10,2,1,2.4,0.497907949790795,100.5,0.002980099502487562,75.08531339958516,0.03343477089435568
5,30,20,2,1,2.4,0.497907949790795,203.79,0.0029393002600716423,75.60463198567285,0.0332051117122263
6,60,5,2,1,2.4,0.497907949790795,22.79,0.003285432207108381,71.51120977587308,0.035105828287819295
7,60,10,2,1,2.4,0.497907949790795,47.13,0.0031773817101633773,72.71695499979693,0.03452372628987333
8,60,20,2,1,2.4,0.497907949790795,93.33,0.003209043180113575,72.357341149274,0.034695308190870605
