,dP,Q,A,L,W,epsilon,t,k,Sw,dm
0,15,5,2,1,2.52,0.4728033472803348,8.07,0.03711276332094175,18.750664291659955,0.133886469940302
1,15,10,2,1,2.52,0.4728033472803348,16.49,0.03632504548211037,18.952880353842325,0.13245798022130595
2,15,20,2,1,2.52,0.4728033472803348,33.16,0.036127864897466826,19.004530994103153,0.1320979850449867
3,30,5,2,1,2.52,0.4728033472803348,3.96,0.037815656565656566,18.57558422722279,0.13514838727747303
4,30,10,2,1,2.52,0.4728033472803348,8.15,0.036748466257668706,18.843375187131493,0.13322773792459788
5,30,20,2,1,2.52,0.4728033472803348,17.21,0.03480534572922719,19.362227932166864,0.12965761274173135
6,60,5,2,1,2.52,0.4728033472803348,4.26,0.017576291079812206,27.246748700209427,0.09213797501742763
7,60,10,2,1,2.52,0.4728033472803348,8.91,0.01680695847362514,27.86337634083419,0.09009892485164867
8,60,20,2,1,2.52,0.4728033472803348,17.77,0.016854248733821044,27.824258848092683,0.09022559288108814
