time,temp
0,240
10,237
20,234
30,231
40,228
50,225
60,222
70,220
80,217
90,214
100,212
110,209
120,207
130,204
140,202
150,199
160,196
170,194
180,192
190,190
200,187
210,185
220,183
230,183
240,184
250,184
260,185
270,185
280,185
290,185
300,184
310,184
320,183
330,182
340,182
350,182
360,182
370,181
380,181
390,181
400,181
410,181
420,181
430,181
440,181
450,181
460,181
470,181
480,181
490,180
500,180
510,180
520,179
530,179
540,177
550,174
560,171
570,168
580,164
590,162
600,
610,
620,
630,
640,
650,
660,
670,
680,
690,
700,
710,
720,
730,
740,
750,
760,
770,
780,
