time,temp,
0,272,
10,268,
20,265,
30,262,
40,259,
50,256,
60,253,
70,250,
80,247,
90,244,
100,241,
110,238,
120,235,
130,232,
140,229,
150,228,
160,230,
170,230,
180,229,
190,229,
200,229,229
210,229,
220,229,
230,229,
240,228,
250,228,
260,228,
270,228,
280,228,
290,228,
300,228,
310,228,
320,227,
330,227,
340,227,
350,227,
360,227,
370,227,
380,226,
390,226,
400,225,
410,224,
420,221,
430,218,
440,213,
450,210,
460,206,
470,203,
480,199,
490,,
500,,
510,,
520,,
530,,
540,,
550,,
560,,
570,,
580,,
590,,
600,,
610,,
620,,
630,,
