time,temp,
0,220,
10,216,
20,214,
30,211,
40,208,
50,206,
60,203,
70,201,
80,199,
90,196,
100,194,
110,193,
120,194,
130,194,
140,194,
150,194,194.5
160,194,
170,194,
180,194,
190,193,
200,192,
210,191,
220,191,
230,190,
240,189,
250,188,
260,187,
270,186,
280,185,
290,184,
300,183,
310,182,
320,181,
330,180,
340,179,
350,178,
360,178,
370,177,
380,177,
390,177,
400,177,
410,176,
420,176,
430,176,
440,176,
450,176,
460,175,
470,175,
480,174,
490,171,
500,169,
510,166,
520,163,
530,160,
540,158,
550,156,
560,153,
570,151,
580,149,
590,,
600,,
610,,
620,,
630,,
640,,
650,,
660,,
670,,
680,,
690,,
700,,
710,,
720,,
730,,
740,,
750,,
760,,
770,,
780,,
790,,
800,,
810,,
820,,
830,,
840,,
850,,
860,,
870,,
880,,
890,,
900,,
910,,
920,,
930,,
940,,
950,,
960,,
970,,
980,,
990,,
1000,,
1010,,
1020,,
1030,,
1040,,
1050,,
1060,,
1070,,
1080,,
1090,,
1100,,
1110,,
1120,,
1130,,
1140,,
1150,,
1160,,
1170,,
1180,,
1190,,
1200,,
1210,,
1220,,
1230,,
1240,,
1250,,
