time,temp,
0,272,
10,268,
20,265,
30,262,
40,258,
50,255,
60,252,
70,249,
80,246,
90,244,
100,240,
110,237,
120,235,
130,234,
140,231,
150,228,
160,225,
170,223,
180,225,
190,228,
200,229,
210,229,
220,229,
230,229,
240,229,229
250,229,
260,229,
270,229,
280,229,
290,229,
300,229,
310,228,
320,228,
330,228,
340,228,
350,228,
360,228,
370,228,
380,227,
390,227,
400,227,
410,226,
420,225,
430,221,
440,217,
450,213,
460,209,
470,205,
480,202,
490,198,
500,,
510,,
520,,
530,,
540,,
550,,
560,,
570,,
580,,
590,,
600,,
610,,
620,,
630,,
