time,temp
0,227
10,224
20,222
30,219
40,216
50,214
60,211
70,209
80,207
90,204
100,201
110,199
120,197
130,194
140,194
150,194
160,195
170,195
180,195
190,195
200,194
210,194
220,193
230,192
240,192
250,191
260,190
270,189
280,188
290,187
300,186
310,185
320,184
330,183
340,182
350,181
360,180
370,179
380,178
390,177
400,177
410,177
420,176
430,176
440,176
450,176
460,176
470,175
480,175
490,175
500,174
510,171
520,168
530,165
540,162
550,160
560,158
570,155
580,153
590,151
600,149
610,
620,
630,
640,
650,
660,
670,
680,
690,
700,
710,
720,
730,
740,
750,
760,
770,
780,
790,
800,
810,
820,
830,
840,
850,
860,
870,
880,
890,
900,
910,
920,
930,
940,
950,
960,
970,
980,
990,
1000,
1010,
1020,
1030,
1040,
1050,
1060,
1070,
1080,
1090,
1100,
1110,
1120,
1130,
1140,
1150,
1160,
1170,
1180,
1190,
1200,
1210,
1220,
1230,
1240,
1250,
