time,temp,
0,300,
10,296,
20,292,
30,289,
40,285,
50,282,
60,278,
70,274,
80,270,
90,267,
100,266,
110,264,
120,263,
130,261,
140,259,
150,256,
160,254,
170,249,
180,247,
190,245,
200,242,
210,240,
220,237,
230,235,
240,232,
250,229,
260,226,
270,224,
280,221,
290,218,
300,216,
310,213,
320,210,
330,207,
340,205,
350,202,
360,200,
370,197,
380,195,95
390,192,
400,187,
410,185,
420,183,
430,180,
440,178,
450,176,
460,174,
470,173,
480,173,
490,173,
500,172,
510,170,
520,168,
530,165,
540,163,
550,161,
560,159,
570,157,
580,155,
590,153,
600,151,
610,149,
620,,
630,,
640,,
650,,
660,,
670,,
680,,
690,,
700,,
710,,
720,,
730,,
740,,
750,,
760,,
770,,
780,,
790,,
800,,
810,,
820,,
830,,
840,,
850,,
860,,
870,,
880,,
890,,
900,,
910,,
920,,
930,,
940,,
950,,
960,,
970,,
980,,
990,,
1000,,
1010,,
1020,,
1030,,
1040,,
1050,,
1060,,
1070,,
1080,,
1090,,
1100,,
1110,,
1120,,
1130,,
1140,,
1150,,
1160,,
1170,,
1180,,
1190,,
1200,,
1210,,
1220,,
1230,,
1240,,
1250,,
