time,temp
0,260
10,256
20,253
30,250
40,247
50,244
60,241
70,237
80,234
90,232
100,229
110,228
120,227
130,226
140,224
150,222
160,220
170,218
180,216
190,214
200,212
210,210
220,208
230,205
240,203
250,201
260,199
270,196
280,194
290,192
300,190
310,188
320,186
330,184
340,182
350,180
360,177
370,177
380,177
390,177
400,177
410,177
420,177
430,177
440,177
450,177
460,176
470,176
480,176
490,176
500,175
510,175
520,174
530,172
540,169
550,166
560,163
570,161
580,159
590,156
600,154
610,151
620,150
630,147
