time,temp
0,350
10,345
20,339
30,335
40,331
50,327
60,323
70,319
80,315
90,310
100,307
110,302
120,299
130,295
140,291
150,287
160,284
170,280
180,276
190,273
200,270
210,268
220,267
230,265
240,264
250,262
260,260
270,258
280,256
290,254
300,252
310,249
320,247
330,245
340,242
350,240
360,237
370,234
380,231
390,229
400,226
410,223
420,221
430,218
440,215
450,212
460,210
470,207
480,204
490,202
500,199
510,197
520,194
530,192
540,189
550,187
560,185
570,182
580,178
590,176
600,173
610,172
620,173
630,173
640,171
650,170
660,167
670,165
680,163
690,161
700,159
710,157
720,155
730,153
740,151
750,149
760,
770,
780,
790,
800,
810,
820,
830,
840,
850,
860,
870,
880,
890,
900,
910,
920,
930,
940,
950,
960,
970,
980,
990,
1000,
1010,
1020,
1030,
1040,
1050,
1060,
1070,
1080,
1090,
1100,
1110,
1120,
1130,
1140,
1150,
1160,
1170,
1180,
1190,
1200,
1210,
1220,
1230,
1240,
1250,
