time,temp
0,240
10,237
20,234
30,231
40,228
50,226
60,223
70,220
80,218
90,215
100,212
110,210
120,207
130,205
140,203
150,200
160,198
170,196
180,193
190,191
200,189
210,187
220,185
230,183
240,183
250,183
260,184
270,184
280,184
290,184
300,184
310,183
320,182
330,182
340,181
350,180
360,180
370,180
380,180
390,180
400,180
410,180
420,180
430,179
440,179
450,179
460,179
470,179
480,179
490,179
500,178
510,178
520,178
530,177
540,177
550,174
560,171
570,167
580,165
590,162
600,159
610,157
620,154
630,152
640,149
650,
660,
670,
680,
690,
700,
710,
720,
730,
